valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
0.205,1991,0.982,"['Wolfgang Amadeus Mozart', 'Cecilia Bartoli', 'Vienna Chamber Orchestra', 'György Fischer']",0.358,170000,0.0851,0,3eLZsE8bLki3oqbFiuWZ7V,0.000367,10,0.112,-19.924,1,"Le nozze di Figaro, K.492 - Original version, Vienna 1786 / Act 2: ""Voi che sapete""",40,1991-01-01,0.0532,118.578,14
0.5429999999999999,1952,0.959,['Billie Holiday'],0.505,174333,0.281,0,6G48GrqVR0ySo7F0BdUJ9u,0.078,7,0.0901,-10.59,1,I Only Have Eyes For You,11,1952,0.058,151.562,0
0.684,1987,0.0176,['The Cars'],0.608,294293,0.6679999999999999,0,6uY7jsXMF9gCT6KFlaUm0f,0.000133,4,0.147,-11.265,0,Everything You Say,30,1987,0.0283,116.038,5
0.439,1977,0.5660000000000001,['RAMP'],0.64,223960,0.511,0,4BDIh3R6eSK6BqSx8n3Tfc,0.00252,6,0.178,-14.169,0,Everybody Loves The Sunshine,33,1977,0.0368,137.845,5
0.772,1960,0.602,['John Lee Hooker'],0.711,134174,0.334,0,2OigRCY3ff6sAmQRrJwMGC,0.00135,5,0.346,-14.638,0,I Wanna Walk,14,1960-01-01,0.0499,107.863,18
0.277,2012,0.000323,['We Came As Romans'],0.542,183480,0.943,0,4rIoGk5qkn0yRDshvHVyjb,6.65e-06,7,0.0926,-4.168,0,Glad You Came,58,2012-11-06,0.0733,129.996,13
0.588,1947,0.995,"['Ludwig van Beethoven', 'Rudolf Serkin']",0.418,80613,0.0992,0,1ynlXnLDRIkAdqPCLnYBDo,0.936,0,0.171,-23.65,1,"Variations on a Waltz by Diabelli, Op. 120: Variation 3: L’istesso tempo",0,1947,0.039,136.731,8
0.336,1950,0.992,['Αντώνης Διαμαντίδης'],0.419,195001,0.265,0,1NeKXpvYHtLlTFy5vznfgE,0.114,9,0.191,-8.521,1,Ο γέρο Νότης,0,1950-01-01,0.0546,97.771,3
0.401,1952,0.843,['Charlie Chaplin'],0.701,81815,0.308,0,0PqmXTdwk3tVRfNjPhu8Vr,0.0,2,0.498,-20.811,1,Calvero's Lesson for Life,0,1952,0.941,107.023,7
0.8959999999999999,1978,0.214,['Vicente Fernández'],0.8079999999999999,144973,0.539,0,7AwZAlZqOgYbmg9KoHFFi8,0.000104,9,0.0869,-5.686,1,No Me Se Rajar,56,1978,0.0457,117.643,10
0.459,2009,0.000772,['Papa Roach'],0.525,191760,0.944,1,2pWhizMrzd6cdbWqKsOCPQ,1.84e-06,4,0.101,-3.997,0,I Almost Told You That I Loved You,46,2009-01-01,0.0353,93.039,4
0.637,2019,0.385,['Logic'],0.8059999999999999,283867,0.7559999999999999,1,6yIGZp1AaFBoDczu3b4hVU,0.0,7,0.11,-4.093,0,Confessions of a Dangerous Mind,63,2019-05-10,0.208,141.97,19
0.491,1956,0.89,['Horace Silver'],0.583,442720,0.333,0,6buMvvO6UEqdzBPKz9CYgc,0.229,2,0.127,-11.626,0,I'll Know,12,1956,0.037,131.292,18
0.506,1956,0.851,"['Judy Holliday', 'Sydney Chaplin', 'Bells Are Ringing Ensemble']",0.507,222267,0.143,0,3mLfWjVdwnSgSEokOnmQzV,3.23e-06,7,0.0686,-16.662,0,Just in Time,9,1956,0.0545,121.801,18
0.141,2000,0.097,['Modest Mouse'],0.472,390427,0.5710000000000001,0,7JVJnw38D5TblpI25uwwUm,0.118,11,0.35,-7.7879999999999985,0,Life Like Weeds,37,2000-06-13,0.026,129.015,13
0.128,1995,0.964,['Secret Garden'],0.223,206133,0.198,0,6xMatwWPx2Xot79SDL3oIH,0.451,3,0.11,-14.226,1,Papillon,41,1995-01-01,0.042,76.712,17
0.669,1994,0.00637,['Nine Inch Nails'],0.546,331560,0.956,0,2Ci4G7UQsI3CzhZTgF6jYF,0.00162,0,0.268,-8.299,1,The Becoming,40,1994-03-08,0.0387,149.862,1
0.978,1997,0.249,['Parokya Ni Edgar'],0.512,223707,0.745,0,4NakwUkSQRKti613z9h8pS,0.000134,7,0.168,-9.236,1,Silvertoes,50,1997,0.0412,157.739,11
0.737,1993,0.0222,['Haddaway'],0.6829999999999999,270373,0.772,0,2IHaGyfxNoFPLJnaEg4GTs,0.0149,7,0.203,-7.907,0,"What Is Love - 7"" Mix",67,1993-09-13,0.0311,123.871,13
0.713,1965,0.826,['Connie Smith'],0.363,147093,0.517,0,22qFMujgBNkJQLIcGjH3WA,0.0,0,0.0878,-8.532,1,Then and Only Then,19,1965,0.032,66.695,3
0.677,2015,0.000303,['Smallpools'],0.416,222760,0.8490000000000001,0,0qnOjNW04qpcgXqD9dwru2,4.23e-05,8,0.185,-3.833,1,Killer Whales,52,2015-03-24,0.0503,144.844,12
0.84,2012,0.139,['El Komander'],0.792,183798,0.65,0,0l0DpvZQgeOfBcwRno8qBI,4.25e-06,8,0.12,-6.0760000000000005,1,Cuernito Armani,56,2012,0.051,114.816,10
0.457,1926,0.522,"['Georgette Heyer', 'Irina Salkow']",0.6729999999999999,136661,0.186,0,10NokhLWqxzi6Qg10vcGQ5,0.0,0,0.301,-23.31900000000001,1,Kapitel 43 - Der Page und die Herzogin,2,1926,0.96,79.702,7
0.802,1958,0.994,['Woody Guthrie'],0.6679999999999999,221733,0.0603,0,36UhH3uUfdIopqKbd2tjna,0.000601,2,0.101,-21.339,1,Jiggy jiggy bum,5,1958,0.0888,125.19,0
0.6659999999999999,1947,0.993,"['Frédéric Chopin', 'Robert Casadesus']",0.29,81560,0.0662,0,5uLh5jeKGWloV0qP3alRtF,0.904,10,0.103,-30.556,0,"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": IV. Presto",0,1947,0.041,117.465,8
0.254,1926,0.154,['Эрнест Хемингуэй'],0.7040000000000001,95091,0.299,1,6Sza4f5kWjsfIAxzThgPRa,0.0,7,0.493,-16.247,0,Часть 65.4 & Часть 66.1 - Фиеста,0,1926,0.933,131.19,7
0.74,2006,0.119,"['Yo Gotti', 'Bun B', '8Ball']",0.915,296387,0.7390000000000001,1,0LE2KXLxG9uEM6aP2jRQzb,0.0,11,0.0832,-5.309,0,Gangsta Party,39,2006-05-23,0.195,136.02200000000002,19
0.468,1996,0.931,['Chet Atkins'],0.6459999999999999,137000,0.368,0,0NzSlcBUNgYkhbaL20cljR,0.629,2,0.0943,-12.803,1,Mister Sandman,45,1996-06-17,0.0497,111.719,16
0.611,1945,0.166,['Эрих Мария Ремарк'],0.642,102049,0.171,1,3t4dLWhNwGWIQsL01fdo6x,5.69e-05,1,0.174,-20.693,1,Часть 228.3 & Часть 229.1 - Триумфальная арка,0,1945,0.955,160.222,7
0.726,2015,0.263,['MARINA'],0.614,331324,0.812,0,6fk13PEdduHc2HG6JX6imT,1.14e-05,7,0.102,-5.849,0,Froot,50,2015-03-16,0.0416,120.019,13
0.133,2018,0.0017,"['Suncatcher', 'Mihai M', 'Starshifters']",0.454,240005,0.8640000000000001,0,010BJZhF4lCXWUI168YwOK,0.952,3,0.317,-8.222999999999999,0,Phobia,0,2018-09-28,0.0903,135.92,15
0.888,2014,0.217,['David Nail'],0.527,236800,0.723,0,4PJXT82AZtlDW4Q71b43oz,0.0,1,0.037,-6.134,1,Whatever She's Got,64,2014-01-01,0.0411,160.465,10
0.452,1983,0.0181,['Suicidal Tendencies'],0.467,188133,0.885,0,2zeAo1ddhjm1TioD77dDSV,0.0,9,0.364,-8.226,0,Subliminal,53,1983,0.0446,94.397,13
0.935,1978,0.361,['Steve Martin and The Toot Uncommons'],0.67,130253,0.698,0,0MOwFENfV5Q94mUU3F4Nk5,0.0,9,0.459,-13.009,1,King Tut - 45 Version,44,1978-04-28,0.136,125.144,16
0.428,1930,0.988,['Αντώνης Διαμαντίδης'],0.481,188693,0.243,0,1UXdWzaZM0N1bA0WTpCuS0,0.274,11,0.0973,-10.211,1,Σήκω Διαμάντω,0,1930-01-01,0.0673,106.826,0
0.732,1952,0.7859999999999999,['Tarun Banerjee'],0.612,212653,0.525,0,0ikXAEx1W189VeeIfbdr5O,0.0,10,0.102,-11.215,0,Alta Payer Alto Chhonwa Porechhe,0,1952-12-01,0.0339,112.055,18
0.519,1990,0.135,['Wink'],0.637,220867,0.934,0,4TgkPULl2POFQoGOGZ2KgX,2.27e-05,4,0.266,-6.3,0,Sexy Music [Bonus Track] (Remastered 2013),35,1990-07-11,0.0559,125.018,13
0.182,1989,0.5710000000000001,['The Cure'],0.665,393093,0.6890000000000001,0,3KwSkeKjuTRSwcN5cGp2ym,0.0909,7,0.0868,-9.057,1,Untitled - 2010 Remaster,34,1989-05-02,0.0316,95.048,16
0.784,1972,0.0384,"['Hank Williams, Jr.']",0.595,219627,0.4,0,1lNYZy4TW33jJF96kLAric,0.000331,0,0.267,-14.842,1,Man Of Steel,22,1972,0.0277,81.711,10
0.344,1996,0.0537,['Firehouse'],0.519,261827,0.517,0,4vHp893kV7HksfB5FN1Nk5,0.0,1,0.0928,-7.5310000000000015,1,I Live My Life for You,51,1996-10-08,0.0286,141.808,1
0.71,1992,0.0204,['Aphex Twin'],0.654,329267,0.371,0,54avYgPIdqFI59mW91E0Sf,0.923,10,0.101,-15.098,0,Delphium,39,1992-02-10,0.0907,118.61,5
0.482,2004,0.000739,['Breaking Benjamin'],0.645,198480,0.897,0,3lMiBDoKSRJfSrP6mLqGut,0.0659,9,0.0761,-3.834,1,Believe,41,2004-01-01,0.142,105.99,12
0.94,2007,0.486,['La Arrolladora Banda El Limón De Rene Camacho'],0.738,197307,0.4970000000000001,0,6orluAPC6hUu3BVZVuZjOu,0.0,10,0.258,-8.149,1,Al Final De Nuestra Historia,52,2007-10-23,0.0343,114.981,16
0.502,1987,0.111,['Mötley Crüe'],0.622,86173,0.659,0,3eJOBeXl5bla1zgnthRy7E,0.0,0,0.218,-8.818999999999997,1,Nona,35,1987,0.0305,124.789,1
0.64,1971,0.62,['Marvin Gaye'],0.376,187733,0.593,0,3uvbzsaidQWwhscQAoiFdn,0.706,6,0.177,-13.026,0,Mercy Mercy Me (The Ecology) - Detroit MIx,29,1971-05-21,0.0378,93.821,8
0.509,1944,0.97,['M. K. Thyagaraja Bhagavathar'],0.4970000000000001,105800,0.273,0,3NLciNY2hOIxjlDW4kmjJE,0.0708,7,0.204,-7.6789999999999985,1,Maamuni Naadha,0,1944-12-01,0.0547,73.13,3
0.736,1945,0.951,"['Woody Herman And His Woodchoppers', 'Red Norvo']",0.7759999999999999,172000,0.253,0,2993sRdYC9vhMpoak1sj1X,0.25,5,0.284,-16.224,0,Lost Week-End - 78rpm Version,2,1945,0.0894,130.811,18
0.928,1994,0.455,['Los Tigres Del Norte'],0.578,206600,0.325,0,3X5whob19D1tXZlpHGFLFt,0.0,0,0.415,-10.65,1,Agua Salada,48,1994-01-01,0.0275,95.94,10
0.66,1965,0.6709999999999999,['The Byrds'],0.635,156067,0.583,0,07gsAWyHNZA4pUpJGDIqOj,6.21e-05,2,0.431,-10.629,1,Here Without You,29,1965-06-21,0.0273,119.636,0
0.233,2012,0.0173,['Taylor Swift'],0.5670000000000001,242573,0.481,0,5VwFkx7JOimOGTYfha5rs1,4.13e-05,4,0.182,-7.357,1,I Almost Do,48,2012-10-22,0.027,145.865,12
0.342,1971,0.912,['Bread'],0.388,155773,0.176,0,40W8Mm9t3ZO1iNQlls35lL,0.000336,9,0.0977,-16.952,1,If,61,1971,0.0299,97.628,14
0.415,1975,0.115,['Elton John'],0.701,222093,0.895,0,2u3UJ9KyduTnbi9yUVGYfW,1.34e-06,10,0.257,-8.488999999999999,1,Island Girl,40,1975-10-24,0.0616,139.915,12
0.249,2015,0.767,['Manuel Medrano'],0.616,225839,0.454,0,5QSYWruQQ7kBCHScI4xJ9g,3.48e-05,4,0.105,-8.504,1,Bajo El Agua,74,2015-10-30,0.0273,99.998,16
0.247,1977,0.0146,['AC/DC'],0.401,369053,0.723,0,7EIPa69XVt6wTdLRkXklXq,0.209,9,0.1669999999999999,-4.348,1,Overdose,43,1977-03-21,0.0552,127.781,12
0.417,1977,0.546,"['Crosby, Stills, Nash & Young']",0.504,218093,0.292,0,2y8b7VeYpEurDRyUNHeo6s,7.77e-05,2,0.263,-13.175999999999998,1,Helpless - 2017 Remaster,33,1977,0.0328,116.012,3
0.575,1944,0.995,['Amirbai Karnataki'],0.45,190667,0.276,0,4ON527Ua0SBQHUOs87d3kY,0.923,4,0.617,-13.134,1,Mora Dheere Se Ghoonghat,0,1944-12-31,0.0596,133.282,8
0.7829999999999999,2005,0.422,['The Partridge Family'],0.4320000000000001,173400,0.471,0,2hb6LFp0TwBjkhf37od4G3,0.0,3,0.141,-12.26,1,I Think I Love You,44,2005-05-03,0.0473,203.27,11
0.471,2011,0.0242,['Dance Gavin Dance'],0.286,280680,0.923,0,1hImJ5o3WFH6Nb73oQ8bfY,0.0,11,0.136,-3.611,0,Blue Dream,48,2011-03-08,0.127,100.79,13
0.905,1973,0.77,['Looking Glass'],0.608,218027,0.604,0,3WknsOoTmbQFbxqjn7uZo8,0.000158,4,0.41,-9.784,0,Jimmy Loves Mary-Anne,32,1973,0.0338,136.018,5
0.0472,1977,0.975,"['Cluster', 'Eno']",0.226,304307,0.0779,0,1Zpx5qwrsyXz5vlsLurHQN,0.8420000000000001,9,0.0828,-23.638,0,Wehrmut,28,1977,0.0394,68.602,17
0.161,2018,0.0399,['21 Savage'],0.84,171714,0.5429999999999999,1,2QgfDF0fQ4sskDthP8MG5w,0.0,1,0.117,-7.737999999999999,1,asmr,60,2018-12-21,0.476,170.067,19
0.224,1948,0.954,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet', 'Milton Katims']",0.359,454840,0.129,0,4y1nAIplBnsX1WQw8OfxTV,0.626,7,0.0948,-16.86,0,"Quintet No. 4 in G Minor for Strings, K. 516: I. Allegro",0,1948,0.0386,141.046,2
0.188,2006,0.191,['Stone Sour'],0.584,241560,0.611,0,05BOCO1cK6iNmOYhjTTQit,1.52e-06,11,0.244,-5.739,1,Zzyzx Rd. - Pop Mix,50,2006,0.0269,79.572,16
0.126,1942,0.995,"['Franz Schubert', 'Elly Ney']",0.425,264996,0.0483,0,4hydKeq7dKXnj7zO29FC2y,0.928,8,0.196,-21.629,1,"Fantasy in C Major, Op. 15, D. 760 ""Wanderer"": Part IV",0,1942-05-01,0.0442,75.304,17
0.85,1977,0.812,['Buffalo Springfield'],0.5579999999999999,139347,0.29,0,2ihrzjkisJGNcaulKO8Bgq,0.199,7,0.168,-17.075,1,I Am a Child - 2017 Remaster,29,1977,0.123,172.261,11
0.3720000000000001,1957,0.98,['The Amboina Serenaders'],0.4320000000000001,160413,0.0768,0,6lXCImwhUCfWXSLDTeGMc9,0.000449,0,0.15,-18.805,1,Sioh Mama,10,1957-10-31,0.0434,102.987,3
0.562,1935,0.951,"['Πέτρος Κυριακός', 'Νίτσα Λαζαρίδου']",0.579,96061,0.278,0,36ck3M3fmi9Q1PW5eOLAQc,0.000238,4,0.644,-14.347,1,Κοσμογονία,0,1935-01-01,0.453,121.267,0
0.6459999999999999,1940,0.994,['周璇'],0.544,170493,0.115,0,24b156VLFtckJS1Qlcq33b,0.0453,5,0.311,-14.907,1,何日君再來 - 一,5,1940-02-01,0.0456,114.34,0
0.165,2010,0.643,['Glee Cast'],0.3229999999999999,182600,0.466,0,7hMwPUbpQhSjyVwOBvTfMq,3.14e-06,11,0.165,-9.755,0,Merry Christmas Darling (Glee Cast Version),48,2010-11-09,0.0335,83.929,16
0.49,1930,0.993,['Giorgos Papasideris'],0.411,205547,0.326,0,6E6SCpkXXiDjzqinqfM02T,0.921,2,0.116,-13.466,1,Ti Epatha O Variomiros,0,1930-01-01,0.0433,100.502,8
0.328,1926,0.484,"['Georgette Heyer', 'Irina Salkow']",0.721,135198,0.158,0,6wNFn9EiP2oa9fxV6FgARk,0.0,10,0.234,-20.299,1,Kapitel 290 - Der Page und die Herzogin,1,1926,0.924,128.88299999999998,7
